(22.335119, 114.201464)
(22.338180, 114.198663)
(22.338060, 114.199995)
(22.336844, 114.198231)
(22.335724, 114.198136)
(22.336701, 114.200221)
(22.336436, 114.200637)
(22.336129, 114.198867)
(22.334823, 114.198683)
(22.336681, 114.198482)
(22.336552, 114.199934)
(22.336709, 114.198438)
(22.338104, 114.197812)
(22.338438, 114.199571)
(22.336398, 114.199646)
(22.336348, 114.198998)
(22.335941, 114.201105)
(22.337937, 114.200439)
(22.337632, 114.200882)
(22.336151, 114.201026)
(22.338155, 114.198702)
(22.337771, 114.200760)
(22.336418, 114.199578)
(22.335628, 114.201401)
(22.336849, 114.201038)
(22.336369, 114.200743)
(22.335717, 114.196957)
(22.336053, 114.201063)
(22.335784, 114.198065)
(22.338316, 114.199783)
(22.337784, 114.200621)
(22.338431, 114.198275)
